hole_id,x_3d,y_3d,z_3d,u_2d_mm,v_2d_mm,diameter_mm,solidity,axis_ratio,circularity
1,-20.345286,6.440859,-6.727627,-5.955103,-6.051186,1.1470,0.9101,0.9200,0.4650
2,-20.447173,-5.820206,-6.732211,6.306384,-6.043385,1.1101,0.8697,0.8083,0.3883
3,-15.614939,-7.807387,-10.254782,8.250847,-0.049477,1.0906,0.9002,0.9229,0.3929
4,-10.640914,6.378005,-13.776680,-5.977884,5.943289,0.9908,0.8960,0.9719,0.4545
5,-10.695976,-5.769689,-13.814548,6.169822,6.007724,1.0895,0.9104,0.8485,0.4271
