hole_id,x_3d,y_3d,z_3d,u_2d_mm,v_2d_mm,diameter_mm,solidity,axis_ratio,circularity
1,-14.341480,-7.717976,7.421318,6.012508,-5.741762,1.1770,0.9105,0.7996,0.4517
2,-14.259698,4.468077,7.400922,-6.173787,-5.707000,1.1795,0.9358,0.8880,0.6866
3,-9.499661,-9.698504,3.906926,7.971708,0.248078,1.1385,0.8845,0.8744,0.3487
4,-4.620144,-7.745623,0.377764,5.997371,6.263093,1.1503,0.9202,0.8339,0.5313
5,-4.536164,4.427231,0.355733,-6.175735,6.300642,1.0599,0.8940,0.9825,0.4509
