id,cx_uv_mm,cy_uv_mm,cx_xyz_mm,cy_xyz_mm,cz_xyz_mm,diameter_mm,circularity,area_px
0,5.826872,-6.042726,-10.605718,6.258001,-13.802008,0.656541,0.627553,227
1,-6.230544,-5.958908,-10.673535,-5.799482,-13.830113,0.763605,0.649159,315
2,-8.209730,0.133191,-15.602707,-7.801598,-10.262809,0.787673,0.734774,327
3,5.992809,5.954503,-20.312782,6.378700,-6.750812,0.855823,0.678503,389
4,-6.148456,6.087371,-20.420287,-5.762816,-6.750630,0.880025,0.695075,405
